customer_id,age,gender,purchase_amount,location,size,color,season,review_rating,subscription_status,discount_applied,previous_purchases,payment_method,frequency_of_purchases,age_group,purchase_category
2701,22,Female,68,California,XL,Olive,Winter,3.2,No,No,36,Cash,Weekly,Young Adult,Medium
521,51,Male,84,South Carolina,M,White,Spring,3.9,Yes,Yes,20,Debit Card,Quarterly,Senior,High
3157,18,Female,50,Montana,M,Black,Winter,3.1,No,No,18,Cash,Monthly,Teen,Medium
1687,22,Male,75,Illinois,L,Red,Fall,4.2,No,No,25,Cash,Annually,Young Adult,High
2929,40,Female,80,Alabama,L,Yellow,Spring,3.6,No,No,17,Credit Card,Weekly,Adult,High
3583,23,Female,41,California,S,Beige,Summer,3.4,No,No,15,PayPal,Annually,Young Adult,Medium
1135,62,Male,81,Wisconsin,M,Brown,Summer,,No,Yes,2,Venmo,Every 3 Months,Senior,High
1411,61,Male,93,Tennessee,M,Purple,Summer,4,No,Yes,18,Debit Card,Annually,Senior,High
113,37,Male,65,Florida,M,Red,Spring,4.3,Yes,Yes,28,PayPal,Bi-Weekly,Adult,Medium
166,42,Male,60,Kentucky,S,Yellow,Winter,2.8,Yes,Yes,7,Cash,Monthly,Adult,Medium
4568,35,Other,,Phoenix,M,Blue,Autumn,,No,Yes,41,Credit Card,Monthly,Young Adult,High
947,46,Male,24,Pennsylvania,XL,Blue,Spring,2.8,Yes,Yes,4,PayPal,Quarterly,Adult,Low
4776,64,Other,884.04,Los Angeles,,Black,Spring,,No,No,,Credit Card,Quarterly,Senior,High
3855,57,Female,20,Florida,M,Black,Spring,4.2,No,No,4,Venmo,Annually,Senior,Low
481,68,Male,88,Vermont,M,Gray,Summer,4.8,Yes,Yes,30,Debit Card,Bi-Weekly,Senior,High
3790,56,Female,75,North Dakota,M,Magenta,Summer,3.8,No,No,18,Bank Transfer,Every 3 Months,Senior,High
3617,42,Female,23,Wisconsin,L,Purple,Winter,3.3,No,No,33,Debit Card,Fortnightly,Adult,Low
2659,52,Female,47,Ohio,XL,Indigo,Summer,3.2,No,No,39,PayPal,Monthly,Senior,Medium
3725,30,Female,71,Colorado,L,Green,Winter,3.1,No,No,18,Bank Transfer,Annually,Young Adult,High
2134,21,Male,34,Maine,M,Olive,Summer,3.8,No,No,13,Bank Transfer,Annually,Young Adult,Medium
4256,70,Male,,Los Angeles,,Green,Autumn,,Yes,Yes,25,Cash,Weekly,Senior,High
833,58,Male,80,California,L,Blue,Fall,2.5,Yes,Yes,28,Cash,Bi-Weekly,Senior,High
1106,33,Male,83,Massachusetts,S,Olive,Spring,3,No,Yes,6,Venmo,Every 3 Months,Young Adult,High
3047,60,Female,49,Pennsylvania,M,White,Spring,3.2,No,No,25,Cash,Every 3 Months,Senior,Medium
4685,68,Other,1032.09,Phoenix,L,Black,Summer,,No,No,,PayPal,Monthly,Senior,High
1612,41,Male,26,Arkansas,L,Yellow,Winter,4.5,No,Yes,6,Debit Card,Monthly,Adult,Low
4289,34,Female,1282.44,New York,S,Red,Autumn,,No,Yes,36,PayPal,Weekly,Young Adult,High
3552,66,Female,31,Montana,L,Black,Spring,2.6,No,No,20,Venmo,Weekly,Senior,Medium
2918,58,Female,45,Colorado,XL,White,Winter,2.9,No,No,50,Venmo,Annually,Senior,Medium
1192,34,Male,70,Indiana,L,Charcoal,Winter,4.1,No,Yes,50,Venmo,Quarterly,Young Adult,High
1907,23,Male,30,Vermont,M,Green,Spring,4.6,No,No,24,PayPal,Fortnightly,Young Adult,Medium
1332,38,Male,91,Maryland,M,Lavender,Spring,3.2,No,Yes,8,PayPal,Bi-Weekly,Adult,High
316,66,Male,24,Wisconsin,XL,Orange,Spring,4.5,Yes,Yes,24,Debit Card,Annually,Senior,Low
347,49,Male,50,New Mexico,L,Violet,Spring,4.7,Yes,Yes,5,Cash,Weekly,Adult,Medium
3115,21,Female,56,Arkansas,M,Olive,Spring,4.7,No,No,45,Venmo,Bi-Weekly,Young Adult,Medium
5042,46,Other,,Los Angeles,M,White,Summer,,Yes,No,31,PayPal,Monthly,Adult,High
1498,69,Male,33,Michigan,S,Magenta,Spring,3.8,No,Yes,16,Debit Card,Every 3 Months,Senior,Medium
1606,70,Male,46,Connecticut,M,Lavender,Winter,3.4,No,Yes,15,Credit Card,Bi-Weekly,Senior,Medium
4418,67,Female,,Los Angeles,,Red,Autumn,,No,No,47,PayPal,Quarterly,Senior,High
4894,24,Other,,Los Angeles,L,Red,Spring,,No,No,4,PayPal,Quarterly,Young Adult,High
4576,65,Male,,New York,S,Black,Summer,,No,Yes,47,Cash,Weekly,Senior,High
2486,43,Male,55,Louisiana,M,Beige,Spring,4.6,No,No,37,Bank Transfer,Annually,Adult,Medium
187,39,Male,56,Minnesota,S,Lavender,Summer,2.9,Yes,Yes,31,Debit Card,Annually,Adult,Medium
275,59,Male,32,Maryland,M,Indigo,Spring,3,Yes,Yes,28,Cash,Bi-Weekly,Senior,Medium
1402,23,Male,59,Indiana,M,Blue,Fall,3.5,No,Yes,1,PayPal,Weekly,Young Adult,Medium
1181,23,Male,23,Oregon,S,Beige,Spring,4.9,No,Yes,34,Cash,Monthly,Young Adult,Low
2130,40,Male,57,Minnesota,L,Orange,Fall,2.8,No,No,12,PayPal,Every 3 Months,Adult,Medium
995,53,Male,68,New York,L,Violet,Fall,3.2,Yes,Yes,20,Debit Card,Monthly,Senior,Medium
1230,34,Male,52,Kansas,XL,Maroon,Winter,3.6,No,Yes,39,Bank Transfer,Annually,Young Adult,Medium
4319,47,Other,,Houston,,Green,Summer,,Yes,Yes,28,PayPal,Monthly,Adult,High
4489,36,Female,748.61,Los Angeles,L,Red,Summer,,No,No,0,PayPal,Monthly,Adult,High
4708,33,Female,,New York,,Green,Winter,4,Yes,Yes,31,Debit Card,Quarterly,Young Adult,High
4827,20,Female,,Houston,,Green,Summer,,No,No,17,Debit Card,Monthly,Teen,High
